date,tweet_count,mean_vader,std_vader,vader_pos_ratio,vader_neg_ratio,finbert_pos_ratio,finbert_neg_ratio,finbert_neu_ratio,mean_finbert_score,price,volume,market_cap,price_return,log_return
2022-08-07,9524,0.1993322553548929,0.4092630554717837,0.4525409491810164,0.14752204955900883,0.08126837463250736,0.054178916421671566,0.864552708945821,0.8668439291051484,23957,36096628002.01662,457578700000.0,0.0075703410859233,0.0075418298565866
2022-08-08,11260,0.18994857904085258,0.40688458355746415,0.46145648312611015,0.1594138543516874,0.10079928952042629,0.05150976909413854,0.8476909413854352,0.8622545506560357,23823,40569040331.77075,455019300000.0,-0.0055933547606127,-0.0056090561456684
2022-08-09,10854,0.1878252072968491,0.4226874509523557,0.4683066150727842,0.18103924820342732,0.08485351022664456,0.07564031693384927,0.8395061728395061,0.8597326964793426,24204,31085354970.68328,462296400000.0,0.0159929479914369,0.0158664081788914
2022-08-10,10642,0.18100914301822965,0.4159145105821713,0.45639917308776545,0.17261792896072167,0.0896448036083443,0.07808682578462695,0.8322683706070287,0.8568964470930508,23935,25680968044.619423,457158500000.0,-0.0111138654767807,-0.0111760859156027
2022-08-11,9886,0.1817311349382966,0.4013979009043852,0.44871535504754195,0.15607930406635645,0.09923123609144244,0.058567671454582235,0.8422010924539753,0.8577595926171586,24444,33864619675.39587,466880400000.0,0.0212659285565071,0.0210429641881966
2022-08-12,6785,0.16850878408253503,0.40364303941959095,0.4316875460574797,0.16801768607221812,0.0815033161385409,0.06425939572586588,0.8542372881355932,0.867369849952425,24652,21595431402.60438,470853200000.0,0.0085092456226476,0.0084732460673276
2022-08-13,9967,0.20331670512691882,0.4177592947346678,0.47737533861743753,0.158924450687268,0.09110063208588341,0.053476472358783986,0.8554228955553326,0.8617289373786636,24376,40690779299.81455,465581600000.0,-0.0111958461788089,-0.0112589914165887
2022-08-14,10223,0.17500568326323,0.4050585714752282,0.44253154651276533,0.16775897486060842,0.08353712217548664,0.056343539078548374,0.860119338745965,0.8643154827428753,24331,35791609978.05162,464722100000.0,-0.001846078109616,-0.0018477842118647
2022-08-15,11261,0.17240136755172722,0.4101035344537846,0.44827279992895835,0.17707130805434687,0.07903383358493916,0.07050883580499068,0.8504573306100701,0.8612840680264736,24146,38952193502.134346,461188600000.0,-0.0076034688257777,-0.0076325225613474
2022-08-16,9298,0.1764638309313831,0.41252268548692056,0.45687244568724455,0.18261991826199184,0.06517530651753065,0.07711335771133578,0.8577113357711336,0.8652373487159857,24395,28863149203.24671,465944500000.0,0.0103122670421602,0.0102594583576049
2022-08-17,8750,0.16868417142857142,0.41368408295609654,0.44765714285714286,0.18217142857142857,0.07314285714285715,0.07508571428571428,0.8517714285714286,0.8622942759956632,23936,44267450609.87258,457177600000.0,-0.0188153310104529,-0.0189945914757337
2022-08-18,10246,0.16995014639859457,0.40760476960226566,0.4473941050165918,0.17499512004684756,0.058559437829396835,0.07163771227796213,0.869802849892641,0.8670357059866987,23263,42328028033.05495,444323300000.0,-0.0281166443850267,-0.0285194862341598
2022-08-19,8598,0.13774748778785764,0.41421617924985527,0.4171900441963247,0.20365201209583625,0.048499651081646895,0.1113049546406141,0.840195394277739,0.8604829426413776,21440,39459587426.84405,409504000000.0,-0.078364785281348,-0.0816057793553056
2022-08-20,6898,0.14534088141490287,0.4171957209821719,0.41983183531458396,0.20005798782255726,0.0534937663090751,0.09596984633227022,0.8505363873586547,0.8635934853673016,21589,24865967696.29919,412349900000.0,0.0069496268656716,0.0069255895117208
